 Bazy danych                                                                                                        |      1 | testPka
 Przetwarzanie dużych danych                                                                                        |      3 | 221304
 Przetwarzanie dużych danych                                                                                        |      2 | 169842
 Przetwarzanie dużych danych                                                                                        |      3 | 186764
 Przetwarzanie dużych danych                                                                                        |      2 | 200054
 Przetwarzanie dużych danych                                                                                        |      2 | 209179
 Przetwarzanie dużych danych                                                                                        |      3 | 233184
 Przetwarzanie dużych danych                                                                                        |      3 | 208934
 Przetwarzanie dużych danych                                                                                        |      3 | 221094
 Przetwarzanie dużych danych                                                                                        |      3 | 209068
 Przetwarzanie dużych danych                                                                                        |      3 | 233141
 Przetwarzanie dużych danych                                                                                        |      3 | 233242
 Przetwarzanie dużych danych                                                                                        |      3 | 221051
 Przetwarzanie dużych danych                                                                                        |      2 | 221072
 Przetwarzanie dużych danych                                                                                        |      2 | 209141
 Przetwarzanie dużych danych                                                                                        |      3 | 200058
 Przetwarzanie dużych danych                                                                                        |      1 | 241667
 Przetwarzanie dużych danych                                                                                        |      3 | 200066
 Algorytmy Internetu                                                                                                |      2 | 221025
 Przetwarzanie dużych danych                                                                                        |      3 | 200030
 Algorytmy metaheurystyczne                                                                                         |      3 | 221025
 Przetwarzanie dużych danych                                                                                        |      2 | 241618
 Przetwarzanie dużych danych                                                                                        |      3 | 233217
 Przetwarzanie dużych danych                                                                                        |      3 | 209096
 Algorytmy tekstowe                                                                                                 |      1 | 221025
 Przetwarzanie dużych danych                                                                                        |      3 | 209170
 Przetwarzanie dużych danych                                                                                        |      3 | 209123
 Przetwarzanie dużych danych                                                                                        |      3 | 209109
 Analiza programów komputerowych                                                                                    |      3 | 221025
 Integracja informacji                                                                                              |      2 | 221025
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221025
 Kurs języka Java                                                                                                   |      1 | 221025
 Przetwarzanie dużych danych                                                                                        |      1 | 169845
 Matematyczne metody grafiki komputerowej                                                                           |      1 | 221025
 Metody biometryczne                                                                                                |      1 | 221025
 Zaawansowane technologie Javy                                                                                      |      3 | 221099
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      3 | 221025
 Przetwarzanie dużych danych                                                                                        |      2 | 221025
 Zaawansowane technologie Javy                                                                                      |      3 | 241641
 Seminar: Tutorials of CADE.                                                                                        |      3 | 221025
 Seminarium - Aukcje, Głosowania, Gry                                                                               |      1 | 221025
 Zaawansowane technologie Javy                                                                                      |      2 | 221135
 Zaawansowane technologie Javy                                                                                      |      3 | 221060
 Zaawansowane technologie Javy                                                                                      |      3 | 220992
 Zaawansowane technologie Javy                                                                                      |      3 | 221116
 Zaawansowane technologie Javy                                                                                      |      2 | 221036
 Seminarium: Co nowego w bazach danych?                                                                             |      2 | 221025
 Seminarium: Programowanie gier                                                                                     |      1 | 221025
 Zaawansowane technologie Javy                                                                                      |      2 | 233193
 Seminarium: Programowanie w teorii typów                                                                           |      3 | 221025
 Systemy wbudowane                                                                                                  |      2 | 221025
 Zaawansowane technologie Javy                                                                                      |      3 | 209124
 Zaawansowane technologie Javy                                                                                      |      3 | 200031
 Wnioskowanie statystyczne                                                                                          |      3 | 221025
 Zaawansowane technologie Javy                                                                                      |      2 | 221025
 Zaawansowane technologie Javy                                                                                      |      3 | 221304
 Zaawansowane technologie Javy                                                                                      |      1 | 209179
 Złożoność obliczeniowa                                                                                             |      3 | 221025
 Zaawansowane technologie Javy                                                                                      |      3 | 233113
 Zaawansowane technologie Javy                                                                                      |      3 | 241678
 Zaawansowane technologie Javy                                                                                      |      3 | 221144
 Zaawansowane technologie Javy                                                                                      |      3 | 241757
 Zaawansowane technologie Javy                                                                                      |      1 | 169825
 Zaawansowane technologie Javy                                                                                      |      3 | 209096
 Zaawansowane technologie Javy                                                                                      |      3 | 241748
 Zaawansowane technologie Javy                                                                                      |      1 | 169845
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233174
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233131
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221099
 Projektowanie obiektowe oprogramowania                                                                             |      1 | 241671
 Projektowanie obiektowe oprogramowania                                                                             |      2 | 200093
 Projektowanie obiektowe oprogramowania                                                                             |      2 | 241691
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 226175
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233197
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 209124
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221136
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221027
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221055
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221001
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233213
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 186764
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 200054
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 209179
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233113
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 208934
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221144
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 200096
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 220996
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 209068
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233141
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233242
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221056
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221051
 Projektowanie obiektowe oprogramowania                                                                             |      1 | 209141
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 200058
 Projektowanie obiektowe oprogramowania                                                                             |      2 | 241687
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 204925
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 209096
 Projektowanie obiektowe oprogramowania                                                                             |      1 | 233189
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 209123
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 209109
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 233108
 Projektowanie obiektowe oprogramowania                                                                             |      2 | 221108
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221043
 Projektowanie obiektowe oprogramowania                                                                             |      3 | 221140
 Socjotechnika                                                                                                      |      3 | 233123
 Socjotechnika                                                                                                      |      2 | 233131
 Socjotechnika                                                                                                      |      3 | 241702
 Socjotechnika                                                                                                      |      3 | 241671
 Socjotechnika                                                                                                      |      3 | 241726
 Socjotechnika                                                                                                      |      3 | 221085
 Socjotechnika                                                                                                      |      2 | 186816
 Socjotechnika                                                                                                      |      1 | 226175
 Socjotechnika                                                                                                      |      3 | 226178
 Socjotechnika                                                                                                      |      3 | 241676
 Socjotechnika                                                                                                      |      3 | 241605
 Socjotechnika                                                                                                      |      3 | 221067
 Socjotechnika                                                                                                      |      3 | 221001
 Socjotechnika                                                                                                      |      3 | 233213
 Socjotechnika                                                                                                      |      3 | 241731
 Socjotechnika                                                                                                      |      3 | 221068
 Socjotechnika                                                                                                      |      2 | 241629
 Socjotechnika                                                                                                      |      3 | 200008
 Socjotechnika                                                                                                      |      3 | 241638
 Socjotechnika                                                                                                      |      2 | 241632
 Algorytmy funkcjonalne i trwałe struktury danych                                                                   |      2 | 221013
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      2 | 221013
 Algorytmy Internetu                                                                                                |      2 | 221013
 Algorytmy metaheurystyczne                                                                                         |      2 | 221013
 Algorytmy rozproszone                                                                                              |      2 | 221013
 Socjotechnika                                                                                                      |      3 | 233180
 Algorytmy tekstowe                                                                                                 |      2 | 221013
 Socjotechnika                                                                                                      |      2 | 241728
 Socjotechnika                                                                                                      |      2 | 241615
 Socjotechnika                                                                                                      |      3 | 233217
 Analiza programów komputerowych                                                                                    |      3 | 221013
 Socjotechnika                                                                                                      |      3 | 209170
 Socjotechnika                                                                                                      |      3 | 200396
 Socjotechnika                                                                                                      |      2 | 241665
 Socjotechnika                                                                                                      |      3 | 241748
 Socjotechnika                                                                                                      |      3 | 241610
 Socjotechnika                                                                                                      |      1 | 233189
 Socjotechnika                                                                                                      |      3 | 233108
 Socjotechnika                                                                                                      |      3 | 208932
 Socjotechnika                                                                                                      |      2 | 221038
 Socjotechnika                                                                                                      |      2 | 233176
 Eksploracja danych                                                                                                 |      2 | 221013
 Socjotechnika                                                                                                      |      2 | 241607
 Socjotechnika                                                                                                      |      3 | 233103
 Socjotechnika                                                                                                      |      3 | 169845
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221013
 Socjotechnika                                                                                                      |      3 | 233171
 Kryptografia                                                                                                       |      2 | 221013
 Eksploracja danych                                                                                                 |      3 | 233123
 Eksploracja danych                                                                                                 |      2 | 233131
 Kurs WWW                                                                                                           |      2 | 221013
 Licencjacki projekt programistyczny                                                                                |      2 | 221013
 Metody biometryczne                                                                                                |      2 | 221013
 Pewne algorytmy symboliczne                                                                                        |      2 | 221013
 Podstawy grafiki komputerowej                                                                                      |      3 | 221013
 Eksploracja danych                                                                                                 |      3 | 241726
 Eksploracja danych                                                                                                 |      1 | 241653
 Programowanie                                                                                                      |      3 | 221013
 Projekt zespołowy 1                                                                                                |      2 | 221013
 Seminarium: Bezpieczeństwo i ochrona informacji                                                                    |      1 | 221013
 Eksploracja danych                                                                                                 |      2 | 200093
 Eksploracja danych                                                                                                 |      3 | 220992
 Eksploracja danych                                                                                                 |      3 | 221116
 Eksploracja danych                                                                                                 |      3 | 209177
 Eksploracja danych                                                                                                 |      3 | 221036
 Seminarium: Co nowego w bazach danych?                                                                             |      1 | 221013
 Eksploracja danych                                                                                                 |      3 | 233182
 Eksploracja danych                                                                                                 |      3 | 226175
 Eksploracja danych                                                                                                 |      3 | 221075
 Seminarium: Pozycjonowanie stron internetowych                                                                     |      2 | 221013
 Seminarium: Testowanie oprogramowania                                                                              |      1 | 221013
 Eksploracja danych                                                                                                 |      3 | 221055
 Eksploracja danych                                                                                                 |      3 | 221304
 Eksploracja danych                                                                                                 |      1 | 169842
 Seminarium: Zastosowania algorytmów ewolucyjnych                                                                   |      1 | 221013
 Eksploracja danych                                                                                                 |      2 | 221068
 Eksploracja danych                                                                                                 |      3 | 186764
 Sieci neuronowe                                                                                                    |      3 | 221013
 Eksploracja danych                                                                                                 |      2 | 209179
 Socjotechnika                                                                                                      |      3 | 221013
 Eksploracja danych                                                                                                 |      3 | 233184
 Sztuczna inteligencja                                                                                              |      2 | 221013
 Testowanie oprogramowania                                                                                          |      1 | 221013
 Eksploracja danych                                                                                                 |      3 | 186772
 Algebra                                                                                                            |      1 | 241694
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241694
 Eksploracja danych                                                                                                 |      3 | 208934
 Algorytmy i struktury danych (M)                                                                                   |      3 | 241694
 Eksploracja danych                                                                                                 |      3 | 221094
 Analiza matematyczna 2                                                                                             |      2 | 241694
 Analiza numeryczna (L)                                                                                             |      1 | 241694
 Analiza numeryczna (M)                                                                                             |      3 | 241694
 Eksploracja danych                                                                                                 |      3 | 209068
 Eksploracja danych                                                                                                 |      3 | 233242
 Eksploracja danych                                                                                                 |      3 | 221051
 Eksploracja danych                                                                                                 |      3 | 241645
 Eksploracja danych                                                                                                 |      2 | 221072
 Eksploracja danych                                                                                                 |      3 | 209141
 Architektury systemów komputerowych                                                                                |      3 | 241694
 Bazy danych                                                                                                        |      3 | 241694
 CCNA exploration 1: Network Fundamentals                                                                                                 |      2 | 241694
 CCNA Exploration 2                                                                                                 |      1 | 241694
 Filozofia matematyki                                                                                               |      2 | 241694
 Inżynieria oprogramowania                                                                                          |      2 | 241694
 Kurs języka Java                                                                                                   |      1 | 241694
 Eksploracja danych                                                                                                 |      2 | 200066
 Kurs pracy w systemie Linux                                                                                        |      3 | 241694
 Kurs programowania pod Windows w technologii .NET                                                                  |      1 | 241694
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      1 | 241694
 Eksploracja danych                                                                                                 |      3 | 209170
 Eksploracja danych                                                                                                 |      3 | 200102
 Algorytmy i struktury danych (M)                                                                                   |      3 | 200035
 Algorytmy metaheurystyczne                                                                                         |      3 | 200035
 Eksploracja danych                                                                                                 |      3 | 221108
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233123
 Analiza numeryczna (M)                                                                                             |      3 | 200035
 Bazy danych                                                                                                        |      3 | 200035
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 200035
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221029
 Inżynieria oprogramowania                                                                                          |      3 | 200035
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 200035
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 241653
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 241641
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 200130
 Kryptografia                                                                                                       |      3 | 200035
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 200114
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221135
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 200093
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233170
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221116
 Kurs programowania pod Windows w technologii .NET                                                                  |      3 | 200035
 Kurs WWW                                                                                                           |      3 | 200035
 Modelowanie zjawisk przyrodniczych                                                                                 |      1 | 200035
 Podstawy grafiki komputerowej                                                                                      |      1 | 200035
 Programowanie                                                                                                      |      3 | 200035
 Programowanie obiektowe                                                                                            |      3 | 200035
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 209163
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233193
 Seminarium: Bezpieczeństwo i ochrona informacji                                                                    |      3 | 200035
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 200031
 Seminarium: Co nowego w bazach danych?                                                                             |      3 | 200035
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221055
 Seminarium: Pozycjonowanie stron internetowych                                                                     |      3 | 200035
 Sieci komputerowe                                                                                                  |      3 | 200035
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221304
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233213
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 200105
 Języki formalne i złożoność obliczeniowa                                                                           |      2 | 220991
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233113
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221094
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233242
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 241755
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 241645
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 209141
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 200066
 Języki formalne i złożoność obliczeniowa                                                                           |      2 | 241618
 Języki formalne i złożoność obliczeniowa                                                                           |      1 | 169825
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 221109
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233217
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 209096
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 200063
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233189
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 233108
 Języki formalne i złożoność obliczeniowa                                                                           |      2 | 233183
 Języki formalne i złożoność obliczeniowa                                                                           |      1 | 169845
 Języki formalne i złożoność obliczeniowa                                                                           |      3 | 241593
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      3 | 233131
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      1 | 241653
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      3 | 221077
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      3 | 221055
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      1 | 169842
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      3 | 221087
 Obliczenia i wnioskowanie w systemie Coq                                                                           |      3 | 233108
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      2 | 233131
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 221099
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 200130
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 221136
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 221068
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 200054
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 221144
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 221094
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 241746
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 221038
 Seminarium: Projektowanie obiektowe oprogramowania                                                                 |      3 | 233172
 Licencjacki projekt programistyczny                                                                                |      3 | 233123
 Licencjacki projekt programistyczny                                                                                |      3 | 221003
 Licencjacki projekt programistyczny                                                                                |      3 | 233174
 Licencjacki projekt programistyczny                                                                                |      2 | 233147
 Licencjacki projekt programistyczny                                                                                |      3 | 221077
 Licencjacki projekt programistyczny                                                                                |      3 | 200132
 Licencjacki projekt programistyczny                                                                                |      3 | 233170
 Licencjacki projekt programistyczny                                                                                |      3 | 221116
 Licencjacki projekt programistyczny                                                                                |      2 | 221036
 Licencjacki projekt programistyczny                                                                                |      3 | 233140
 Licencjacki projekt programistyczny                                                                                |      3 | 233182
 Licencjacki projekt programistyczny                                                                                |      3 | 233193
 Licencjacki projekt programistyczny                                                                                |      3 | 200126
 Licencjacki projekt programistyczny                                                                                |      3 | 209083
 Licencjacki projekt programistyczny                                                                                |      3 | 221136
 Licencjacki projekt programistyczny                                                                                |      3 | 221027
 Licencjacki projekt programistyczny                                                                                |      3 | 221055
 Licencjacki projekt programistyczny                                                                                |      3 | 233213
 Licencjacki projekt programistyczny                                                                                |      3 | 221068
 Licencjacki projekt programistyczny                                                                                |      3 | 200105
 Licencjacki projekt programistyczny                                                                                |      3 | 233184
 Licencjacki projekt programistyczny                                                                                |      3 | 200008
 Licencjacki projekt programistyczny                                                                                |      3 | 220991
 Licencjacki projekt programistyczny                                                                                |      3 | 200096
 Licencjacki projekt programistyczny                                                                                |      3 | 220996
 Licencjacki projekt programistyczny                                                                                |      3 | 233141
 Licencjacki projekt programistyczny                                                                                |      3 | 233242
 Licencjacki projekt programistyczny                                                                                |      3 | 221056
 Licencjacki projekt programistyczny                                                                                |      3 | 233190
 Licencjacki projekt programistyczny                                                                                |      2 | 221089
 Licencjacki projekt programistyczny                                                                                |      3 | 204925
 Algorytmy i struktury danych w sieciach komputerowych                                                              |      3 | 233120
 Licencjacki projekt programistyczny                                                                                |      3 | 200396
 Algorytmy Internetu                                                                                                |      3 | 233120
 Algorytmy rozproszone                                                                                              |      3 | 233120
 Efektywne tworzenie oprogramowania                                                                                 |      3 | 233120
 Licencjacki projekt programistyczny                                                                                |      3 | 221038
 Licencjacki projekt programistyczny                                                                                |      3 | 233183
 Licencjacki projekt programistyczny                                                                                |      3 | 233247
 Eksploracja danych                                                                                                 |      2 | 233120
 Licencjacki projekt programistyczny                                                                                |      1 | 221108
 Inżynieria oprogramowania                                                                                          |      3 | 233120
 Kurs projektowania aplikacji ASP.NET i Silverlight                                                                 |      2 | 233120
 Licencjacki projekt programistyczny                                                                                |      3 | 233120
 Licencjacki projekt programistyczny                                                                                |      3 | 233172
 Analiza programów komputerowych                                                                                    |      3 | 233131
